gauge,hy_year,q,q_ml,gap_days,p,pet
221201,1923,125.090530140596,40437.009,0,961.672948424923,1088.8
221201,1924,63.9419543393193,20670.001,0,795.755395220682,1074.6
221201,1925,184.417023276012,59615.007,0,1045.16747761144,1121.4
221201,1926,71.6261342483929,23154.004,0,749.179483776142,1104.8
221201,1927,130.108129607399,42059.008,0,981.104864755397,1100.1
221201,1928,269.014083947604,86962.018,0,969.805850558135,1128
221201,1929,,,,928.490653133558,1098.8
221201,1930,,,,932.507372500868,1078.5
221201,1931,,,,865.829635849834,1111.8
221201,1932,,,,972.063525691963,1027.9
221201,1933,,,,1253.41816113766,1103
221201,1934,,,,1457.78647530496,1091.7
221201,1935,,,,947.933814908681,1060.3
221201,1936,,,,869.277812128331,1069.9
221201,1937,,,,936.572948073317,1107.8
221201,1938,,,,872.188068757541,1122.2
221201,1939,,,,870.523481013378,1087.5
221201,1940,,,,806.542705011959,1111.9
221201,1941,,,,672.805015510135,1062.1
221201,1942,,,,926.124924375724,1040.9
221201,1943,,,,695.49415039043,1053.6
221201,1944,,,,824.985030356908,1027.1
221201,1945,,,,856.297644730442,1037
221201,1946,,,,953.95653506725,1028.5
221201,1947,106.87000664171,34547.007,0,904.765045806789,1014.9
221201,1948,152.832727864203,49405.006,0,969.104179385189,996.1
221201,1949,269.400757971788,87087.015,0,1081.61937720575,980.8
221201,1950,448.620751447271,145022.02,0,1236.23503122632,997
221201,1951,388.097037305402,125457.006,0,1083.67279788903,1054.6
221201,1952,,,,1497.39133571691,1016.5
221201,1953,,,,922.059117852724,1055.2
221201,1954,,,,714.84870782875,1023.1
221201,1955,,,,934.807980052107,985.8
221201,1956,,,,1118.41261421755,1041.5
221201,1957,159.995918529879,51720.593,0,985.037614519269,1046.5
221201,1958,60.1584592792925,19446.941,0,718.38419399385,1014.9
221201,1959,255.763579308259,82678.634,0,1235.80349527142,1061.9
221201,1960,254.817343607679,82372.752,0,1093.9329786796,1045
221201,1961,392.200706141624,126783.566,0,1340.7396674803,1048.1
221201,1962,123.986499810548,40080.118,0,802.752050450247,1009.2
221201,1963,275.559379440288,89077.863,0,1067.50547131452,994
221201,1964,109.584644085074,35424.546,0,875.744605491645,1014
221201,1965,,,,846.493009268433,1025.6
221201,1966,285.17953416902,92187.693,0,1219.37165624554,1016.6
221201,1967,83.8891610926248,27118.174,0,705.843996975237,1103.5
221201,1968,35.6300174347397,11517.829,0,880.742479158374,1066.6
221201,1969,156.719430244956,50661.429,0,1074.24331231097,1000.9
221201,1970,,,,1516.14034924074,1004.7
221201,1971,,,,753.464513959329,1011.3
221201,1972,31.7111306291795,10251.002,0,514.52340440199,1111
221201,1973,68.0727992781869,22005.346,0,864.532144140735,1034
221201,1974,452.445661835952,146258.468,0,1348.90235641312,1020
221201,1975,331.585094392321,107188.845,0,1053.52348007785,1018
221201,1976,251.363859547116,81256.372,0,992.416338135362,1007
221201,1977,126.592302917737,40922.475,0,791.165121592407,1121
221201,1978,546.163523697137,176553.887,0,1311.38328636662,1060.8
221201,1979,64.0888228453328,20717.478,0,709.930925826851,1096.6
221201,1980,21.9495704561611,7095.461,0,615.986929846344,1145.6
221201,1981,35.7300817935665,11550.176,0,645.243009645305,1087.1
221201,1982,24.0447072174523,7772.739,0,614.255850939335,1144.7
221201,1983,234.841710991287,75915.39,0,1057.5950603478,1033.2
221201,1984,306.712099162586,99148.352,0,994.506535386361,1024.4
221201,1985,651.975750425493,210758.954,0,1314.29490759316,1001.1
221201,1986,98.1094396186664,31715.049,0,664.363525378459,1068.6
221201,1987,52.3936914760774,16936.887,0,655.730775076913,1099
221201,1988,135.151813183196,43689.439,0,932.11702182949,1074.5
221201,1989,257.878347207557,83362.258,0,1123.20782852773,1057.1
221201,1990,172.447346760503,55745.666,0,893.044149853675,1084.2
221201,1991,188.673623812463,60991.004,0,1070.61117202036,1095.7
221201,1992,189.191955768191,61158.561,0,998.906003681421,989.3
221201,1993,88.3817869312603,28570.469,0,902.784422398348,1082.4
221201,1994,87.9990756375819,28446.753,0,838.044983848086,1109.3
221201,1995,139.662603856748,45147.606,0,1028.28655119296,1038
221201,1996,61.2870238916493,19811.763,0,754.210562856081,1043.2
221201,1997,51.9263120060275,16785.801,0,679.900684887515,1146.4
221201,1998,135.792896980597,43896.677,0,999.514971685519,1088.4
221201,1999,42.2792472127629,13667.272,0,751.496049641685,1068.3
221201,2000,44.4560422075827,14370.947,0,906.419528034723,1096.5
221201,2001,151.320799236749,48916.257,0,1188.65744720215,1059.1
221201,2002,99.8899677498823,32290.626,0,694.297113205507,1113.6
221201,2003,24.5559736958391,7938.012,0,753.251140438354,1137.7
221201,2004,21.9302208235998,7089.206,0,873.099240323319,1112.4
221201,2005,47.4573697464311,15341.162,0,841.971429885448,1118.5
221201,2006,72.102760089622,23308.079,0,821.518542449434,1179.6
221201,2007,139.714883439527,45164.506,0,956.243464749409,1107.3
221201,2008,18.0598705064308,5838.069,0,648.049772849918,1128.2
221201,2009,16.7485810185931,5414.179,0,837.10729489865,1116.5
221201,2010,21.3681936544537,6907.524,0,804.451672886688,1092.5
221201,2011,173.883306039205,56209.857,0,1188.63214439308,1043.7
221201,2012,224.613591116825,72609.028,0,1219.16420774288,1073.7
221201,2013,123.831278945156,40029.941,0,966.042704941727,1141.4
221201,2014,132.865323868532,42950.304,0,1275.34711124113,1102.2
221201,2015,245.601449259823,79393.604,0,1144.01823765439,1112.4
221201,2016,97.541417311566,31531.429,0,832.549848223405,1071.4
221202,1922,149.151141897248,118534.887,0,749.613462704035,1157.3
221202,1923,57.4498722836687,45657.137,0,959.453040790692,1141.8
221202,1924,,,,815.648170314357,1123.6
221202,1925,,,,1004.44612411245,1175.7
221202,1926,,,,698.890943817905,1157.2
221202,1927,,,,916.214453871873,1150.4
221202,1928,413.058076327809,328269.645,0,989.787003390548,1181.7
221202,1929,,,,882.867214505445,1151.5
221202,1930,,,,890.286104586644,1129.7
221202,1931,,,,766.54568956112,1160.8
221202,1932,,,,959.27174270117,1075
221202,1933,,,,1260.70000024537,1150.4
221202,1934,,,,1408.67276699723,1140.6
221202,1935,,,,829.80090043434,1108.2
221202,1936,,,,868.431607358974,1120.3
221202,1937,,,,911.644727548093,1155.8
221202,1938,,,,828.015818531688,1174.2
221202,1939,,,,801.978659876223,1143.8
221202,1940,,,,714.454032057589,1159.1
221202,1941,,,,571.291563541007,1117.2
221202,1942,,,,900.109553810309,1085.5
221202,1943,,,,620.446899192683,1099.5
221202,1944,,,,775.389825627758,1074.8
221202,1945,,,,811.546091813182,1085.1
221202,1946,,,,858.263398855832,1070.4
221202,1947,,,,851.131482823914,1057.5
221202,1948,,,,876.950000042985,1039.7
221202,1949,,,,1116.25762981434,1030.6
221202,1950,,,,1311.51696730801,1040.9
221202,1951,,,,1010.01495054465,1105
221202,1952,,,,1536.49320722512,1062.9
221202,1953,,,,830.9561110559,1103.8
221202,1954,,,,629.924286631077,1071.8
221202,1955,,,,972.363245016452,1034.3
221202,1956,,,,1137.45015569003,1088.7
221202,1957,,,,982.364299705716,1096.6
221202,1958,,,,660.97298436898,1080
